relay_url,count
wss://relay1.nostrchat.io,80330
wss://astral.ninja,79183
wss://vitor.nostr1.com,79162
wss://nostr-relay.texashedge.xyz,78946
wss://bucket.coracle.social,78669
wss://nostr.sethforprivacy.com,78309
wss://bitstack.app,78224
wss://hotrightnow.nostr1.com,78028
wss://cellar.nostr.wine,77973
wss://relay.farscapian.com,77763
wss://adre.su,77756
wss://nerostr.xmr.rocks,77611
wss://freelay.sovbit.host,77600
wss://nostr.ono.re,77517
wss://ftp.halifax.rwth-aachen.de/nostr,77028
wss://paid.spore.ws,77014
wss://nostr.sebastix.dev,76789
wss://relay.beta.fogtype.com,76413
wss://dev-relay.lnfi.network,76361
wss://njump.me,76021
wss://relay.nostr.directory,75963
wss://srtrelay.c-stellar.net,75902
wss://pleb.cloud,75868
wss://relay.lexingtonbitcoin.org,75845
wss://nostr.sectiontwo.org,75826
wss://relay.piazza.today,75816
wss://nostr.h3z.jp,75742
wss://nostr.hekster.org,75728
wss://relay.sovereign-stack.org,75686
wss://nostr.sovbit.host,75291
wss://powrelay.xyz,75140
wss://nostr.hifish.org,75090
wss://global-relay.cesc.trade,74974
wss://relay2.nostrchat.io,74786
wss://shawn.nostr1.com,74694
wss://bostr.freespeech.casa,74540
wss://br.purplerelay.com,74365
wss://filter.nostr.wine/npub1gz7uczyg3kvdf8grlwfmllguc3kehrcc05yvnlypkjklptgql5kqa0zkqj,74349
wss://relay.urbanzap.space,74328
wss://nostr.21sats.net,74101
wss://bostr.nokotaro.com,73843
wss://nostr.mining.sc,73621
wss://global.relay.red,73496
wss://nostr.openhoofd.nl,73466
wss://nostr-2.zebedee.cloud,72903
wss://nostr.notribe.net,72739
wss://21ideas.nostr1.com,72715
wss://directory.yabu.me,72607
wss://nostr.randomdevelopment.biz,72320
wss://studio314.nostr1.com,72221
wss://nostr.lorentz.is,72124
wss://nostr-world.h3z.jp,72086
wss://nostr.gleeze.com,71947
wss://relay.stemstr.app,71933
wss://relay.valera.co,71767
wss://relay.nostrica.com,71737
wss://relay.verified-nostr.com,71717
wss://junxingwang.org,71696
wss://nostr.dakukitsune.ca,71678
wss://nostr.cahlen.org,71535
wss://nostr.screaminglife.io,71429
wss://dev-relay.kube.b-n.space,71406
wss://bostr.nokotaro.work,71359
wss://nostr.yuv.al,70979
wss://bouncer.nostree.me,70909
wss://nostr.cro.social,70364
wss://nostr.koning-degraaf.nl,70360
wss://relay.devstr.org,70223
wss://relay.casualcrypto.date,70221
wss://multiplextr.coracle.social,70167
wss://spore.ws,70152
wss://nostr.zoel.network,70096
wss://wc1.current.ninja,69956
wss://relay.nostr.ai,69955
wss://nostr.bitcoinist.org,69661
wss://nostr.btc-library.com,69651
wss://bostr.online,69641
wss://relay.vanderwarker.family,69483
wss://countries.fiatjaf.com,69424
wss://cl.purplerelay.com,69356
wss://rly.bopln.com,69174
wss://nostr.21crypto.ch,69127
wss://relay.satoshidnc.com,69104
wss://relay.phantom-power.coracle.tools,69083
wss://relay.roli.social,69033
wss://nostr.dvdt.dev,68972
wss://nostr.pjv.me,68949
wss://nostrsatva.net,68370
wss://nostr.256k1.dev,68066
wss://n.wingu.se,67971
wss://carlos-cdb.top,67967
wss://rsslay.nostr.net,67829
wss://relay.artx.market,67679
wss://relay.hamnet.io,67654
wss://relay.bitcoinbarcelona.xyz,67614
wss://nostr.girino.org,67613
wss://nostr.openchain.fr,67575
wss://nostr.8777.ch,67559
wss://ca.orangepill.dev,67552
wss://nostr-relay.psfoundation.info,67504
wss://nostr.strits.dk,67406
wss://nostr.topeth.info,67368
wss://relay.nostrcn.com,67215
wss://nostr.lbdev.fun,67159
wss://relay.nimo.cash,67058
wss://relay.nostrology.org,66982
wss://relay.minibits.cash,66812
wss://fiatjaf.nostr1.com,66778
wss://nostr2.sanhauf.com,66592
wss://nostr.corebreach.com,66586
wss://nosflare.plebes.fans,66466
wss://th2.nostr.earnkrub.xyz,66431
wss://eosla.com,66228
wss://nostria.space,66204
wss://jp.purplerelay.com,66171
wss://relay.earthly.land,66136
wss://fiatjaf.com,66122
wss://nostramsterdam.vpx.moe,66103
wss://relay.nostr.hach.re,66048
wss://nostr.sats.li,65985
wss://nostr.self-determined.de,65914
wss://us.purplerelay.com,65837
wss://relay.poster.place,65809
wss://nostr.primz.org,65805
wss://xmr.ithurtswhenip.ee,65748
wss://lunchbox.sandwich.farm,65745
wss://nostr.ch3n2k.com,65737
wss://nostr.at,65734
wss://feeds.nostr.band/nostrhispano,65673
wss://nostr.novacisko.cz,65647
wss://relay.nostr.jabber.ch,65539
wss://tw.purplerelay.com,65519
wss://inbox.nostr.wine,65451
wss://relay.geyser.fund,65450
wss://relayer.fiatjaf.com,65390
wss://relay.s3x.social,65266
wss://ragnar-relay.com,65223
wss://relay.gems.xyz,65071
wss://relay.dwadziesciajeden.pl,64975
wss://nostr.heavyrubberslave.com,64946
wss://nostr.kungfu-g.rip,64811
wss://nostril.cam,64693
wss://jingle.carlos-cdb.top,64562
wss://relay.causes.com,64545
wss://nostr3.daedaluslabs.io,64462
